Poll,Month,Year,Dates,SampSize,SampType,Dem,Rep
ABC News/Wash Post,August,2018,8/26 - 8/29,879,RV,52,38
Economist/YouGov,August,2018,8/26 - 8/28,1249,RV,45,39
USA Today/Suffolk,August,2018,8/23 - 8/28,1000,RV,50,39
IBD/TIPP,August,2018,8/23 - 8/30,857,RV,50,39
Reuters/Ipsos,August,2018,8/22 - 8/28,2920,RV,47,34
Harvard-Harris,August,2018,8/22 - 8/23,1330,RV,45,37
Rasmussen Reports,August,2018,8/19 - 8/23,2500,LV,46,41
NBC News/Wall St. Jrnl,August,2018,8/18 - 8/22,900,RV,50,42
Economist/YouGov,August,2018,8/19 - 8/21,1247,RV,44,38
FOX News,August,2018,8/19 - 8/21,1009,RV,49,38
Reuters/Ipsos,August,2018,8/15 - 8/21,1885,RV,41,37
Monmouth,August,2018,8/15 - 8/19,725,RV,48,43
Rasmussen Reports,August,2018,8/12 - 8/16,2500,LV,44,44
Economist/YouGov,August,2018,8/12 - 8/14,1250,RV,44,40
Reuters/Ipsos,August,2018,8/8 - 8/14,1860,RV,45,36
Quinnipiac,August,2018,8/9 - 8/13,1175,RV,51,42
CNN,August,2018,8/9 - 8/12,921,RV,52,41
Pew Research,August,2018,7/30 - 8/12,3986,RV,46,39
Rasmussen Reports,August,2018,8/5 - 8/9,2500,LV,48,41
Economist/YouGov,August,2018,8/5 - 8/7,1289,RV,44,41
Reuters/Ipsos,August,2018,8/3 - 8/7,1479,RV,41,39
Rasmussen Reports,August,2018,7/29 - 8/2,2500,LV,45,41
IBD/TIPP,August,2018,7/26 - 8/2,878,RV,45,45
Economist/YouGov,July,2018,7/29 - 7/31,1222,RV,44,40
Reuters/Ipsos,July,2018,7/27 - 7/31,1571,RV,42,36
Rasmussen Reports,July,2018,7/22 - 7/26,2500,LV,46,40
Harvard-Harris,July,2018,7/24 - 7/25,1323,RV,43,36
Economist/YouGov,July,2018,7/22 - 7/24,1203,RV,44,38
Reuters/Ipsos,July,2018,7/20 - 7/24,1165,RV,42,37
NPR/PBS/Marist,July,2018,7/19 - 7/22,923,RV,47,40
Quinnipiac,July,2018,7/18 - 7/23,1177,RV,51,39
Rasmussen Reports,July,2018,7/15 - 7/19,2500,LV,47,40
NBC News/Wall St. Jrnl,July,2018,7/15 - 7/18,900,RV,49,43
Economist/YouGov,July,2018,7/15 - 7/17,1272,RV,45,37
Rasmussen Reports,July,2018,7/8 - 7/12,2500,LV,46,41
Reuters/Ipsos,July,2018,7/13 - 7/17,2357,RV,44,35
FOX News,July,2018,7/9 - 7/11,1007,RV,48,40
Economist/YouGov,July,2018,7/8 - 7/10,1246,RV,42,38
Reuters/Ipsos,July,2018,7/6 - 7/10,,RV,47,34
Emerson,July,2018,7/6 - 7/7,900,RV,49,42
Rasmussen Reports,July,2018,7/1 - 7/5,2500,LV,48,40
Economist/YouGov,July,2018,7/1 - 7/3,,RV,42,38
Rasmussen Reports,June,2018,6/24 - 6/28,2500,LV,46,40
Reuters/Ipsos,July,2018,6/28 - 7/2,2252,RV,44,34
Quinnipiac,July,2018,6/27 - 7/1,1020,RV,50,41
Harvard-Harris,June,2018,6/24 - 6/25,1448,RV,45,36
IBD/TIPP,June,2018,6/21 - 6/29,900,A,48,40
Economist/YouGov,June,2018,6/24 - 6/26,1278,RV,43,38
Reuters/Ipsos,June,2018,6/22 - 6/26,1199,RV,41,38
Rasmussen Reports,June,2018,6/17 - 6/21,2500,LV,45,41
Economist/YouGov,June,2018,6/17 - 6/19,1272,RV,44,37
Reuters/Ipsos,June,2018,6/15 - 6/19,1604,RV,42,36
USA Today/Suffolk,June,2018,6/13 - 6/18,1000,RV,45,39
Quinnipiac,June,2018,6/14 - 6/17,905,RV,49,43
CNN,June,2018,6/14 - 6/17,901,RV,50,42
Gallup,June,2018,6/11 - 6/17,1346,RV,48,43
Monmouth,June,2018,6/12 - 6/13,711,RV,48,41
Rasmussen Reports,June,2018,6/10 - 6/14,2500,LV,45,41
Economist/YouGov,June,2018,6/10 - 6/12,1308,RV,43,37
Reuters/Ipsos,June,2018,6/8 - 6/12,2018,RV,45,35
PPP (D),June,2018,6/8 - 6/10,679,RV,46,40
Pew Research,June,2018,6/5 - 6/12,1608,RV,48,43
Rasmussen Reports,June,2018,6/3 - 6/7,2500,LV,44,40
FOX News,June,2018,6/3 - 6/6,1001,RV,48,39
Economist/YouGov,June,2018,6/3 - 6/5,1292,RV,44,38
Reuters/Ipsos,June,2018,6/1 - 6/5,1265,RV,43,32
NBC News/Wall St. Jrnl,June,2018,6/1 - 6/4,900,RV,50,40
Quinnipiac,June,2018,5/31 - 6/5,1223,RV,47,40
IBD/TIPP,June,2018,5/29 - 6/5,905,A,47,40
Rasmussen Reports,May,2018,5/27 - 5/31,2500,LV,45,41
Economist/YouGov,May,2018,5/27 - 5/29,1279,RV,42,39
Reuters/Ipsos,May,2018,5/25 - 5/29,1931,RV,39,37
Rasmussen Reports,May,2018,5/21 - 5/25,2500,LV,43,42
Harvard-Harris,May,2018,5/21 - 5/22,1347,RV,44,37
Economist/YouGov,May,2018,5/20 - 5/22,1263,RV,43,38
Reuters/Ipsos,May,2018,5/18 - 5/22,1080,RV,40,37
Rasmussen Reports,May,2018,5/13 - 5/17,2500,LV,43,42
Economist/YouGov,May,2018,5/13 - 5/15,1231,RV,42,37
Reuters/Ipsos,May,2018,5/11 - 5/15,1290,RV,38,37
Rasmussen Reports,May,2018,5/6 - 5/10,2500,LV,46,40
CNN,May,2018,5/2 - 5/5,901,RV,47,44
Economist/YouGov,May,2018,5/6 - 5/8,1232,RV,44,35
Reuters/Ipsos,May,2018,5/4 - 5/8,1171,RV,39,38
Economist/YouGov,May,2018,4/29 - 5/1,1273,RV,42,39
Reuters/Ipsos,May,2018,4/27 - 5/1,1337,RV,43,37
Pew Research,May,2018,4/25 - 5/1,1221,RV,48,43
Monmouth,April,2018,4/26 - 4/30,681,RV,49,41
Harvard-Harris,April,2018,4/22 - 4/24,1549,RV,43,34
Economist/YouGov,April,2018,4/22 - 4/24,1270,RV,43,38
Quinnipiac,April,2018,4/20 - 4/24,1193,RV,48,40
Reuters/Ipsos,April,2018,4/20 - 4/24,1248,RV,45,34
Economist/YouGov,April,2018,4/15 - 4/17,1274,RV,43,38
NPR/PBS/Marist,April,2018,4/10 - 4/13,827,RV,44,39
Reuters/Ipsos,April,2018,4/13 - 4/17,1238,RV,44,34
ABC News/Wash Post,April,2018,4/8 - 4/11,865,RV,47,43
NBC News/Wall St. Jrnl,April,2018,4/8 - 4/11,900,A,47,40
Economist/YouGov,April,2018,4/8 - 4/10,1292,RV,44,36
Rasmussen Reports,April,2018,4/8 - 4/9,1000,LV,45,40
Quinnipiac,April,2018,4/6 - 4/9,1181,RV,46,43
Reuters/Ipsos,April,2018,4/6 - 4/10,1219,RV,44,34
Economist/YouGov,April,2018,4/1 - 4/3,1246,RV,43,36
Reuters/Ipsos,April,2018,3/30 - 4/3,1519,RV,43,34
Harvard-Harris,March,2018,3/27 - 3/29,1340,RV,45,34
Reuters/Ipsos,March,2018,3/23 - 3/27,1392,RV,42,35
Economist/YouGov,March,2018,3/25 - 3/27,1330,RV,42,35
CNN,March,2018,3/22 - 3/25,913,RV,50,44
PPP (D),March,2018,3/23 - 3/25,846,RV,50,39
Marist,March,2018,3/19 - 3/21,1015,RV,44,39
FOX News,March,2018,3/18 - 3/21,1014,RV,46,41
Economist/YouGov,March,2018,3/18 - 3/20,1284,RV,44,38
Quinnipiac,March,2018,3/16 - 3/20,1291,RV,49,43
Reuters/Ipsos,March,2018,3/16 - 3/20,1337,RV,40,37
NBC News/Wall St. Jrnl,March,2018,3/10 - 3/14,930,RV,50,40
Economist/YouGov,March,2018,3/10 - 3/13,1291,RV,43,38
Reuters/Ipsos,March,2018,3/9 - 3/13,1411,A,38,30
GWU/Battleground,March,2018,3/4 - 3/8,1000,RV,49,40
Economist/YouGov,March,2018,3/4 - 3/6,1310,RV,43,37
Reuters/Ipsos,March,2018,3/2 - 3/6,2927,A,38,31
Quinnipiac,March,2018,3/3 - 3/5,1122,RV,48,38
Monmouth,March,2018,3/2 - 3/5,708,RV,50,41
Rasmussen Reports,March,2018,3/1 - 3/4,1000,LV,46,40
Economist/YouGov,February,2018,2/25 - 2/27,1296,RV,40,38
Reuters/Ipsos,February,2018,2/23 - 2/27,1651,A,37,31
USA Today/Suffolk,February,2018,2/20 - 2/24,1000,RV,47,32
CNN,February,2018,2/20 - 2/23,909,RV,54,38
Marist,February,2018,2/20 - 2/21,819,RV,46,39
Economist/YouGov,February,2018,2/18 - 2/20,1308,RV,43,35
Reuters/Ipsos,February,2018,2/16 - 2/20,1104,A,38,30
Harvard-Harris,February,2018,2/16 - 2/19,1934,RV,41,36
Quinnipiac,February,2018,2/16 - 2/19,1249,RV,53,38
Economist/YouGov,February,2018,2/11 - 2/13,1280,RV,42,38
Reuters/Ipsos,February,2018,2/9 - 2/13,1515,A,39,30
PPP (D),February,2018,2/9 - 2/11,687,RV,49,41
Marist,February,2018,2/5 - 2/7,807,RV,49,38
Economist/YouGov,February,2018,2/4 - 2/6,1320,RV,43,37
Reuters/Ipsos,February,2018,2/2 - 2/6,3110,A,38,31
Quinnipiac,February,2018,2/2 - 2/5,1333,RV,49,40
IBD/TIPP,February,2018,1/25 - 2/2,832,RV,46,41
Monmouth,January,2018,1/28 - 1/30,711,RV,47,45
Economist/YouGov,January,2018,1/28 - 1/30,1264,RV,42,37
Reuters/Ipsos,January,2018,1/26 - 1/30,1856,A,37,31
Rasmussen Reports,January,2018,1/24 - 1/25,1000,LV,45,37
FOX News,January,2018,1/21 - 1/23,1002,RV,44,38
Economist/YouGov,January,2018,1/21 - 1/23,1301,RV,41,37
Quinnipiac,January,2018,1/19 - 1/23,1245,RV,51,38
Reuters/Ipsos,January,2018,1/19 - 1/23,2981,A,38,30
ABC News/Wash Post,January,2018,1/15 - 1/18,846,RV,51,39
CNN,January,2018,1/14 - 1/18,,RV,49,44
NBC News/Wall St. Jrnl,January,2018,1/13 - 1/17,765,RV,49,43
Economist/YouGov,January,2018,1/14 - 1/16,1311,RV,42,36
Reuters/Ipsos,January,2018,1/12 - 1/16,1638,A,37,32
Quinnipiac,January,2018,1/12 - 1/16,1212,RV,50,39
Pew Research,January,2018,1/10 - 1/15,1215,RV,53,39
NPR/PBS/Marist,January,2018,1/8 - 1/10,1092,RV,46,40
Emerson,January,2018,1/8 - 1/11,600,RV,45,40
Economist/YouGov,January,2018,1/8 - 1/9,1327,RV,44,37
Quinnipiac,January,2018,1/5 - 1/9,1106,RV,52,35
Reuters/Ipsos,January,2018,1/5 - 1/9,1616,A,40,31
Economist/YouGov,January,2017,12/31 - 1/2,1277,RV,42,36
Reuters/Ipsos,January,2017,12/29 - 1/2,1770,A,38,31
Economist/YouGov,December,2017,12/24 - 12/26,1004,RV,44,36
Economist/YouGov,December,2017,12/17 - 12/19,1291,RV,44,35
Reuters/Ipsos,December,2017,12/15 - 12/19,2492,A,39,27
Quinnipiac,December,2017,12/13 - 12/18,1230,RV,52,37
CNN,December,2017,12/14 - 12/17,898,RV,56,38
NBC News/Wall St. Jrnl,December,2017,12/13 - 12/15,736,RV,50,39
PPP (D),December,2017,12/11 - 12/12,862,RV,51,40
Economist/YouGov,December,2017,12/10 - 12/12,1338,RV,44,36
Monmouth,December,2017,12/10 - 12/12,702,RV,51,36
Reuters/Ipsos,December,2017,12/8 - 12/12,1457,A,37,29
Quinnipiac,December,2017,12/6 - 12/11,1211,RV,49,37
Marist,December,2017,12/4 - 12/7,1079,RV,50,37
Economist/YouGov,December,2017,12/3 - 12/5,1341,RV,42,36
Reuters/Ipsos,December,2017,12/1 - 12/5,1548,A,37,31
Quinnipiac,December,2017,11/29 - 12/4,1508,RV,50,36
Economist/YouGov,November,2017,11/26 - 11/28,1319,RV,41,35
Reuters/Ipsos,November,2017,11/24 - 11/28,1969,A,36,30
Economist/YouGov,November,2017,11/19 - 11/21,1344,RV,42,33
Reuters/Ipsos,November,2017,11/17 - 11/22,1489,A,37,28
NPR/PBS/Marist,November,2017,11/13 - 11/15,802,RV,43,40
Economist/YouGov,November,2017,11/12 - 11/14,1281,RV,42,34
Reuters/Ipsos,November,2017,11/10 - 11/14,1520,A,38,31
Quinnipiac,November,2017,11/7 - 11/13,1577,RV,51,38
Marist,November,2017,11/6 - 11/9,850,RV,51,36
Economist/YouGov,November,2017,11/5 - 11/7,1336,RV,40,33
Reuters/Ipsos,November,2017,11/3 - 11/7,1572,A,38,30
ABC News/Wash Post,November,2017,10/29 - 11/1,884,RV,51,40
Economist/YouGov,October,2017,10/29 - 10/31,1291,RV,39,36
Reuters/Ipsos,October,2017,10/27 - 10/31,1798,A,40,31
PPP (D),October,2017,10/27 - 10/29,572,RV,50,40
NBC News/Wall St. Jrnl,October,2017,10/23 - 10/26,753,RV,48,41
Economist/YouGov,October,2017,10/22 - 10/24,1312,RV,40,33
FOX News,October,2017,10/22 - 10/24,1005,RV,50,35
Reuters/Ipsos,October,2017,10/20 - 10/24,2352,A,36,28
Economist/YouGov,October,2017,10/15 - 10/16,1326,RV,41,33
CNN,October,2017,10/12 - 10/15,,RV,54,38
Economist/YouGov,October,2017,10/7 - 10/10,1278,RV,40,33
Quinnipiac,October,2017,10/5 - 10/10,1482,RV,49,41
Economist/YouGov,October,2017,10/1 - 10/3,1298,RV,39,32
Economist/YouGov,September,2017,9/24 - 9/26,1254,RV,40,34
Quinnipiac,September,2017,9/21 - 9/26,1412,RV,47,38
PPP (D),September,2017,9/22 - 9/25,865,RV,48,37
Economist/YouGov,September,2017,9/17 - 9/19,1292,RV,39,33
NBC News/Wall St. Jrnl,September,2017,9/14 - 9/18,751,RV,48,42
Economist/YouGov,September,2017,9/10 - 9/12,1313,RV,40,31
Economist/YouGov,September,2017,9/3 - 9/5,1309,RV,39,33
Economist/YouGov,August,2017,8/27 - 8/29,1278,RV,40,32
Economist/YouGov,August,2017,8/20 - 8/22,1327,RV,39,33
Quinnipiac,August,2017,8/17 - 8/22,1514,RV,50,38
PPP (D),August,2017,8/18 - 8/21,887,RV,49,35
GWU/Battleground,August,2017,8/13 - 8/17,1000,RV,45,38
Economist/YouGov,August,2017,8/13 - 8/15,1291,RV,41,33
Quinnipiac,August,2017,8/9 - 8/15,1361,RV,50,40
Marist,August,2017,8/8 - 8/12,883,RV,47,40
Economist/YouGov,August,2017,8/6 - 8/8,1303,RV,39,34
CNN,August,2017,8/3 - 8/6,,RV,51,42
Economist/YouGov,August,2017,7/31 - 8/1,1329,RV,39,34
Quinnipiac,August,2017,7/27 - 8/1,1125,RV,52,38
Economist/YouGov,July,2017,7/23 - 7/25,1282,RV,40,34
Economist/YouGov,July,2017,7/15 - 7/18,1273,RV,40,34
ABC News/Wash Post,July,2017,7/10 - 7/13,,RV,52,38
Economist/YouGov,July,2017,7/9 - 7/11,1284,RV,39,32
Economist/YouGov,July,2017,7/3 - 7/4,1323,RV,37,35
FOX News,June,2017,6/25 - 6/27,1017,RV,47,41
Economist/YouGov,June,2017,6/25 - 6/27,1295,RV,41,35
Quinnipiac,June,2017,6/22 - 6/27,1212,RV,51,41
NPR/PBS/Marist,June,2017,6/21 - 6/25,995,RV,48,38
Economist/YouGov,June,2017,6/18 - 6/20,1277,RV,38,35
NBC News/Wall St. Jrnl,June,2017,6/17 - 6/20,765,RV,50,42
Economist/YouGov,June,2017,6/11 - 6/13,1310,RV,38,36
PPP (D),June,2017,6/9 - 6/11,811,RV,50,40
Economist/YouGov,June,2017,6/4 - 6/6,1288,RV,41,37
Quinnipiac,June,2017,5/31 - 6/6,1361,RV,51,39
Economist/YouGov,May,2017,5/27 - 5/30,1269,RV,39,33
Quinnipiac,May,2017,5/4 - 5/9,1078,RV,54,38
Economist/YouGov,May,2017,5/20 - 5/23,1276,RV,38,36
Economist/YouGov,May,2017,5/13 - 5/16,1298,RV,40,33
PPP (D),May,2017,5/12 - 5/14,692,RV,49,38
Economist/YouGov,May,2017,5/6 - 5/9,1287,RV,40,35
Economist/YouGov,May,2017,4/29 - 5/2,1255,RV,38,35
FOX News,April,2017,4/23 - 4/25,1009,RV,47,42
Economist/YouGov,April,2017,4/23 - 4/25,1289,RV,39,34
CNN/ORC,April,2017,4/22 - 4/25,,RV,49,41
NBC News/Wall St. Jrnl,April,2017,4/17 - 4/20,759,RV,47,43
PPP (D),April,2017,4/17 - 4/18,648,RV,47,41
Economist/YouGov,April,2017,4/15 - 4/18,1291,RV,38,32
Marist,April,2017,4/11 - 4/12,869,RV,45,38
PPP (D),March,2017,3/27 - 3/28,677,RV,48,43
McClatchy/Marist,March,2017,3/22 - 3/27,906,RV,47,38
PPP (D),March,2017,3/10 - 3/12,808,RV,46,41
PPP (D),February,2017,2/21 - 2/22,941,RV,46,43
PPP (D),January,2017,1/23 - 1/24,1043,RV,48,40
